,0,0,1,2,3,4,0,0
391,2020-02-09,52.22283699484676,0.0,0.0,0.0,0.0,13.472,-23.777002
392,2020-02-10,0.0,0.0,0.0,0.0,0.0,13.52,-34.46217
393,2020-02-11,0.0,0.0,0.0,0.0,0.0,8.417,-31.88225
394,2020-02-12,0.0,0.0,0.0,0.0,0.0,18.72,-35.241035
395,2020-02-13,40.17141307295904,61.3235649122807,40.80881685575364,40.27701232777375,93.91159420289856,8.562,-20.244413
396,2020-02-14,0.0,1.0393824561403509,0.0,0.0,0.0,13.692,-14.331199
397,2020-02-15,0.0,0.0,0.0,0.0,0.0,23.957,-25.570333
398,2020-02-16,30.128559804719284,1.0393824561403509,36.007779578606154,13.425670775924582,26.831884057971013,18.904,-25.751642
399,2020-02-17,122.52280987252507,54.047887719298245,355.2767585089141,228.2364031907179,308.56666666666666,29.102,22.413052
400,2020-02-18,0.0,0.0,0.0,2.6851341551849166,13.415942028985507,29.098000000000003,46.25803
401,2020-02-19,0.0,0.0,0.0,0.0,0.0,18.91,8.38852
402,2020-02-20,0.0,0.0,0.0,0.0,0.0,13.89,-11.311747
403,2020-02-21,0.0,0.0,0.0,0.0,0.0,24.077,-20.10901
404,2020-02-22,0.0,0.0,64.81400324149108,26.851341551849163,40.24782608695652,13.934,-22.586744
405,2020-02-23,0.0,9.354442105263157,115.22489465153969,120.83103698332123,93.91159420289856,24.135,1.6454593
406,2020-02-24,0.0,0.0,0.0,0.0,0.0,24.129,9.204353
407,2020-02-25,0.0,0.0,0.0,0.0,0.0,14.01,-13.198545
408,2020-02-26,484.0655275291565,317.011649122807,595.3286223662885,671.2835387962291,563.4695652173913,44.392,107.36641
409,2020-02-27,351.49986438839164,22.86641403508772,2.400518638573744,13.425670775924582,0.0,44.382,169.08162
410,2020-02-28,40.17141307295904,6.236294736842105,0.0,2.6851341551849166,0.0,39.348,69.054
411,2020-02-29,0.0,0.0,72.01555915721231,40.27701232777375,53.66376811594203,34.278,36.635334
412,2020-03-01,0.0,0.0,0.0,0.0,0.0,39.361,17.362349
413,2020-03-02,26.11141849742338,0.0,0.0,53.70268310369833,2.6831884057971016,31.319,-19.442154
414,2020-03-03,12.051423921887713,0.0,2.400518638573744,107.40536620739665,0.0,41.336,-1.1434678
415,2020-03-04,0.0,2.0787649122807017,0.0,0.0,0.0,41.364,2.8193843
416,2020-03-05,0.0,1.0393824561403509,0.0,0.0,0.0,36.297,-18.110977
417,2020-03-06,0.0,0.0,0.0,0.0,0.0,36.298,-12.427516
418,2020-03-07,0.0,0.0,0.0,0.0,0.0,31.255,-6.420392
419,2020-03-08,0.0,0.0,0.0,0.0,0.0,31.245000000000005,-19.388632
420,2020-03-09,0.0,0.0,0.0,0.0,0.0,31.231,-20.07734
421,2020-03-10,0.0,0.0,0.0,0.0,0.0,26.164,-27.78234
422,2020-03-11,415.7741253051261,172.53748771929824,247.25341977309563,147.68237853517041,308.56666666666666,41.323,11.196649
423,2020-03-12,0.0,0.0,0.0,0.0,0.0,86.837,38.035698
424,2020-03-13,0.0,0.0,0.0,0.0,0.0,66.643,-1.3364736
425,2020-03-14,0.0,0.0,0.0,0.0,0.0,46.43,-22.470655
426,2020-03-15,0.0,0.0,0.0,0.0,0.0,36.294,-22.918905
427,2020-03-16,68.29140222403038,31.181473684210523,0.0,13.425670775924582,0.0,36.347,-31.199612
428,2020-03-17,24.102847843775425,11.43320701754386,0.0,0.0,0.0,31.234,-23.905672
429,2020-03-18,0.0,7.275677192982455,16.803630470016206,40.27701232777375,0.0,31.234,-17.1465
430,2020-03-19,0.0,0.0,0.0,0.0,0.0,26.181,-20.300251
431,2020-03-20,6.025711960943856,54.047887719298245,2.400518638573744,16.1108049311095,0.0,31.228999999999996,-16.95493
432,2020-03-21,0.0,0.0,0.0,0.0,0.0,31.218000000000004,-16.267324
433,2020-03-22,76.32568483862218,43.65406315789474,2.400518638573744,40.27701232777375,26.831884057971013,26.156,-10.153822
434,2020-03-23,0.0,0.0,0.0,0.0,0.0,31.225,-19.755552
